id - 1, sex - 1, eyes - 1
id - 2, sex - 1, eyes - 1
id - 3, sex - 1, eyes - 1
id - 4, sex - 0, eyes - 1
id - 5, sex - 0, eyes - 1
id - 6, sex - 0, eyes - 0
id - 7, sex - 1, eyes - 0
id - 8, sex - 0, eyes - 0
id - 9, sex - 0, eyes - 0
id - 10, sex - 0, eyes - 0
id - 11, sex - 0, eyes - 0
id - 12, sex - 0, eyes - 0
id - 13, sex - 1, eyes - 0
id - 14, sex - 1, eyes - 0
id - 15, sex - 1, eyes - 0
id - 16, sex - 0, eyes - 0
id - 17, sex - 0, eyes - 0
id - 18, sex - 0, eyes - 0
id - 19, sex - 0, eyes - 0
id - 20, sex - 0, eyes - 0
id - 21, sex - 1, eyes - 0
id - 22, sex - 1, eyes - 0
id - 23, sex - 0, eyes - 0
id - 24, sex - 1, eyes - 0
id - 25, sex - 1, eyes - 0
