table - 1, student - 17
table - 2, student - 18
table - 3, student - 24
table - 4, student - 27
table - 5, student - 11
table - 6, student - 8
table - 7, student - 15
table - 8, student - 25
table - 9, student - 16
table - 10, student - 20
table - 11, student - 19
table - 12, student - 26
table - 13, student - 22
table - 14, student - 4
table - 15, student - 7
table - 16, student - 13
table - 17, student - 10
table - 18, student - 14
table - 19, student - 5
table - 20, student - 9
table - 21, student - 1
table - 22, student - 23
table - 23, student - 2
table - 24, student - 3
table - 25, student - 6
table - 26, student - 21
table - 27, student - 12
